Country,Party,PartyName,Dimension,Scale,Mean,SD,N,Vote_Share,Election_Date
9,TB/LNNK,12,10,2,10.875,2.474873781,8,5.39,2002
9,TB/LNNK,12,11,1,11,2.563479662,8,5.39,2002
9,TB/LNNK,12,11,2,11.375,3.622844219,8,5.39,2002
9,TB/LNNK,12,12,1,12.5,1.224744916,6,5.39,2002
9,TB/LNNK,12,12,2,10.5,3.271085501,6,5.39,2002
9,TB/LNNK,12,13,1,16.25,3.284161091,8,5.39,2002
9,TB/LNNK,12,99,1,13.28571415,4.680252552,7,5.39,2002
70,APNI,13,1,1,10.11111069,3.295619965,9,3.7,2003
70,APNI,13,1,2,10,3.391165018,9,3.7,2003
70,APNI,13,2,1,5.900000095,2.469817877,10,3.7,2003
70,APNI,13,2,2,13.5,3.027650356,10,3.7,2003
70,APNI,13,5,1,8.444444656,2.603416443,9,3.7,2003
70,APNI,13,5,2,8.777777672,4.549114704,9,3.7,2003
70,APNI,13,12,1,5.285714149,1.799470782,7,3.7,2003
70,APNI,13,12,2,11.88888931,5.085381985,9,3.7,2003
70,APNI,13,13,1,9.899999619,2.601281643,10,3.7,2003
70,APNI,13,19,1,5.625,3.067688704,8,3.7,2003
70,APNI,13,19,2,9.625,4.838461876,8,3.7,2003
70,APNI,13,20,1,6.909090996,2.844452381,11,3.7,2003
70,APNI,13,20,2,12.45454502,5.391912937,11,3.7,2003
70,APNI,13,22,1,12.19999981,2.573367834,10,3.7,2003
70,APNI,13,22,2,10,3.741657495,9,3.7,2003
70,APNI,13,23,1,6.333333492,4.636809349,9,3.7,2003
70,APNI,13,23,2,12.55555534,4.850543976,9,3.7,2003
70,APNI,13,24,1,6,2.260776758,10,3.7,2003
70,APNI,13,24,2,13.10000038,4.040077209,10,3.7,2003
70,APNI,13,99,1,9.699999809,3.86005187,10,3.7,2003
13,SLD,14,1,1,6,3.026762247,32,37.96,2001
13,SLD,14,1,2,14.23333359,2.908766031,30,37.96,2001
13,SLD,14,2,1,5.161290169,2.161739588,31,37.96,2001
